Model,Target recall,Threshold,Recall,Precision,F1,TP,FP,FN,TN,Cost_5to1,Cost_10to1
Logistic Regression,0.65,0.3325,0.6533333333333333,0.5157894736842106,0.5764705882352941,49,46,26,129,176.0,306.0
Logistic Regression,0.7,0.28300000000000003,0.6933333333333334,0.46846846846846846,0.5591397849462365,52,59,23,116,174.0,289.0
Logistic Regression,0.75,0.23900000000000002,0.7466666666666667,0.45528455284552843,0.5656565656565656,56,67,19,108,162.0,257.0
Logistic Regression,0.8,0.1925,0.8,0.4225352112676056,0.5529953917050692,60,82,15,93,157.0,232.0
Logistic Regression,0.85,0.1615,0.8533333333333334,0.40764331210191085,0.5517241379310345,64,93,11,82,148.0,203.0
Logistic Regression,0.9,0.114,0.9066666666666666,0.37988826815642457,0.5354330708661418,68,111,7,64,146.0,181.0
Logistic Regression,0.95,0.0925,0.9466666666666667,0.36787564766839376,0.5298507462686567,71,122,4,53,142.0,162.0
Random Forest,0.65,0.356,0.6533333333333333,0.5051546391752577,0.5697674418604651,49,48,26,127,178.0,308.0
Random Forest,0.7,0.312,0.6933333333333334,0.4727272727272727,0.5621621621621622,52,58,23,117,173.0,288.0
Random Forest,0.75,0.28350000000000003,0.7466666666666667,0.45528455284552843,0.5656565656565656,56,67,19,108,162.0,257.0
Random Forest,0.8,0.262,0.8,0.45112781954887216,0.5769230769230769,60,73,15,102,148.0,223.0
Random Forest,0.85,0.228,0.8533333333333334,0.40764331210191085,0.5517241379310345,64,93,11,82,148.0,203.0
Random Forest,0.9,0.216,0.9066666666666666,0.40236686390532544,0.5573770491803278,68,101,7,74,136.0,171.0
Random Forest,0.95,0.166,0.9466666666666667,0.37967914438502676,0.5419847328244275,71,116,4,59,136.0,156.0
XGBoost,0.65,0.28450000000000003,0.6533333333333333,0.5,0.5664739884393064,49,49,26,126,179.0,309.0
XGBoost,0.7,0.2705,0.6933333333333334,0.49523809523809526,0.5777777777777777,52,53,23,122,168.0,283.0
XGBoost,0.75,0.2455,0.7466666666666667,0.5,0.5989304812834224,56,56,19,119,151.0,246.0
XGBoost,0.8,0.1685,0.8,0.46511627906976744,0.5882352941176471,60,69,15,106,144.0,219.0
XGBoost,0.85,0.10200000000000001,0.8533333333333334,0.42953020134228187,0.5714285714285714,64,85,11,90,140.0,195.0
XGBoost,0.9,0.059000000000000004,0.9066666666666666,0.3930635838150289,0.5483870967741935,68,105,7,70,140.0,175.0
XGBoost,0.95,0.0325,0.9466666666666667,0.3604060913705584,0.5220588235294118,71,126,4,49,146.0,166.0
